MoPHCode	GTIN
4605	5285006160421
4607	5285006160445
4608	5285006160452
4610	5285006160476
4611	5285006160483
4612	5285006160506
4613	5285006160513
4614	5285006160520
4615	5285006160032
4616	5285006160544
4617	5285006160537
4618	5285006160551
4619	5285006160568
4620	5285006160575
4621	5285006160582
4622	5285006160599
4623	5285006160605
4624	5285006160612
4626	5285006160049
4628	5285006160643
4629	5285006160650
4630	5285006160667
4631	5285006160674
4632	5285006160681
4633	5285006160698
4634	5285006160711
4635	5285006160704
4636	5285006160735
4637	5285006160063
4638	5285006160742
4639	5285006160759
4640	5285006160766
4641	5285006160773
4642	5285006161169
4643	5285006160070
4644	5285006160100
4645	5281019901594
4646	5281019900283
4648	5281019900306
4649	5281019901051
4650	5281019901037
4651	5281019901044
4652	5281019901723
4653	5281019901730
4658	5281019901303
4660	5281019901099
4661	5281019900214
4662	5281019900580
4664	5281019900795
4666	5281019900801
4667	5281019900788
4668	5281019905547
4673	5281019901167
4674	5281019901365
4675	5281019901372
4676	5281019901617
4677	5281019902027
4680	5281019901150
4682	5281019902461
4684	5281019900030
4688	5281019900078
4693	5281019903826
4694	5281019901976
4695	5281019903840
4696	5281019901990
4697	5281019902003
4699	5281019907619
4700	5281019901808
4701	5281019901587
4702	5281019901570
4710	5281019902546
4714	5281019901860
4715	5281019901877
4718	5281019901921
4719	5281019901938
4720	5281019901945
4721	5281019901884
4722	5281019901891
4725	5281019900634
4728	5281019901624
4729	5281019901631
4730	5281019901648
4731	5281019901655
4735	5281019901259
4736	5281019901266
4737	5281019901747
4738	5281019907596
4745	5281019901600
4747	5287000578127
4748	NULL
4749	5287000578028
4750	5287000578035
4751	5287000578042
4752	5287000578059
4753	NULL
4754	5287000578189
4755	5287000578196
4756	NULL
4764	5287000578226
4765	5287000578233
4766	NULL
4767	5287000578240
4769	5287000578257
4770	NULL
4772	5287000578523
4773	5287000578516
4774	5287000578349
4775	5287000578356
4776	NULL
4777	5287000578158
4778	5287000578165
4779	5287000578073
4780	5287000578509
4781	5287000578493
4782	5287000578172
4783	5287000578486
4784	5287000578363
4785	5287000578370
4786	NULL
4787	5287000578264
4788	5287000578271
4789	NULL
4790	5287000578080
4792	5287000578295
4793	5287000578301
4794	5287000578318
4795	5287000578325
4796	5287000578332
4800	NULL
4801	5287000578097
4802	NULL
4803	NULL
4804	NULL
4805	NULL
4806	NULL
4808	5287000578103
4809	5287000578110
4810	NULL
4811	NULL
4831	5281019901198
4857	5283001011106
4858	NULL
4859	NULL
4860	NULL
4861	NULL
4864	5283001011090
4874	5281019902430
4875	5281019902447
4898	5281019900153
4903	5281019901778
4904	5281019901761
5021	5285006160247
5027	5281019900016
5036	58738194560
5037	58738194423
5039	6251599000122
5040	6251599000689
5041	6251599000139
5042	6251599000696
5043	5290931028296
5044	5290931028401
5045	8435214414817
5046	8024790123468
5047	NULL
5049	NULL
5056	6291100085880
5057	6291100085750
5060	6291100085743
5061	6291100085736
5065	6291100082919
5071	7796285253592
5074	5283009054709
5075	5283009051562
5076	5283009051579
5077	5283009055041
5078	5283009055027
5081	5283009050312
5082	5283009050336
5083	5283009054754
5084	5283009054983
5085	5283009054785
5086	5283009050206
5087	5283009055058
5088	5283009050367
5089	5283009050381
5090	5283009055164
5091	5283009050527
5092	5283009050534
5094	6291100081721
5095	3400934243448
5103	5016007202274
5109	6291103730459
5113	625720615596
5114	3592610000800
5115	5281019908050
5116	7612797180181
5117	7612797305539
5120	7612797261729
5121	7321839712241
5122	5285006161244
5123	5285006161251
5124	5285006161268
5125	5285006161275
5126	5285006161282
5134	8050513470137
5135	8050513470113
5136	6291100084913
5137	6291100084920
5143	6291107932682
5146	6281086012017
5150	3582910079231
5153	9003533000272
5155	5702150150042
