code,public_price
8893,710893
8201,314437416
10728,77701762
10135,79286959
9780,9107572
7444,9326123
11523,7512674
11524,2121927
11010,1490321
11011,4942653
5779,5843027
5798,1617986
7050,1128828
7051,3369013
5092,4882628
5091,1343843
9686,2268406
9395,4724854
9837,25170264
7687,302365
2941,721643
11613,643701
11614,721643
7611,184106
9931,77400674
7253,1083137
6306,146081772
10968,345368
10969,985037
8886,681328
7603,768678
7675,748520
7604,768678
7674,395090
7676,395090
10292,1923615
11866,1012361
4422,340440
5172,326362
7290,462282
6837,302365
6838,401809
6839,533505
6840,628918
7491,17619185
7308,43103200
8210,38254090
9272,10146988
4041,44347754
2028,1343444
4699,521441
4700,569093
5115,630359
5693,687540
6219,441115
2595,5038066
2596,5157668
4701,513273
4702,706601
5847,916266
8579,316123
8582,579772
8580,349399
8581,500421
11040,186858
11041,189418
11449,511940
11042,317403
11684,611448
11682,1089856
11683,1089856
4499,163821
8608,7238185
897,391058
6702,657139
6704,571133
6705,403153
4301,454347
4302,533697
4303,691119
9826,4162216
9827,4162216
11433,4162216
11434,4162216
3919,534849
7744,736426
4025,29625401
5334,14813959
5595,10305698
5610,4637600
5611,12095730
8436,893655
8437,1679803
2768,282207
1453,258018
1454,163949
1455,294302
8992,1181752
4423,575933
1278,260705
8068,314459
1277,260705
10838,626231
10839,313115
1007,813025
1459,503941
1460,302365
1870,682672
8983,13364733
8984,46995888
8985,31900938
10415,37803732
11335,75608610
