ATC	Code
A10BG03	5302
D03AX06	5303
N05AH02	5306
J02AC01	5309
J01MA02	5310
G02CA	5311
A04AA01	5312
C03CA01	5313
B01AE07	5314
B01AE07	5315
B01AE07	5316
B01AE07	5317
L01EX02	5319
M01AB55	5325
L01CD01	5326
L01BC01	5327
C09CA01	5329
J01FA09	5330
J01FA09	5331
G03DA04	5332
G03GA05	5334
N05AH03	5335
N06AB06	5336
A10BD02	5341
B03AA02	5342
L03AA02	5343
L03AA02	5344
A10BG03	5345
A10A	5346
R03AK06	5356
R03AK06	5357
R03AK06	5358
R03BA05	5359
R03BA05	5360
R03BA05	5361
S01BA14	5363
N03AX16	5364
N03AX16	5365
J01XA01	5366
C10AB04	5376
J02AC01	5381
J01DC02	5382
J01DD16	5383
J01CR02	5384
C01EB17	5385
C01EB17	5386
N03AX16	5387
R06AD08	5390
J07CA09	5394
C09AA05	5396
C07BB07	5397
A10BB12	5399
A10BB12	5400
A10BB12	5401
C09AA05	5404
C09AA05	5405
N05CF04	5416
N05CF04	5417
M01AX	5418
M01AX	5419
C01DX12	5420
C01DX12	5422
C03CA01	5427
C03CA01	5429
J01MA12	5432
J01MA12	5434
J01MA12	5436
J01MA01	5438
C04AD03	5439
C04AD03	5440
J05AH02	5449
M05BA04	5462
N06AB06	5464
G04CA02	5468
C09DA01	5475
N07CA01	5476
A07EC02	5478
R03AL02	5481
D10BA01	5482
