code,reg_number
8454,167972/11
8565,170415/1
8563,166615/1
8560,144815/1
8016,67914/1
8575,187077/13
10156,61218/1
1664,24878/80
3993,195324/04
11529,9920/1
11530,10020/1
11612,144920/1
3532,195328/04
8735,56916/1
8734,56816/1
5866,218935/10
5867,218936/10
1731,148395/04
3576,194595/04
11268,7821/1
8711,222944/14
7434,185997/13
11332,146221/1
6347,166795/11
11333,145921/1
9889,20019/1
11474,77723/1
7307,96597/12
10441,173219/1
10750,105221/1
10797,3722/1
6310,23640/06
4545,26509
7289,186123/13
11410,177119/1
5999,218160/09
11096,115322/1
11753,22722/1
7361,221342/08
7360,221341/08
10420,102020/1
10419,102120/1
11018,99820/1
11015,99920/1
8096,32914/1
8177,33014/1
2640,236651
3546,148242/03
11536,55723/1
11535,55823/1
5419,024995/07
11959,36717/1
7305,96603/12
6812,97391/12
10972,51222/1
10942,51422/1
9049,186184/13
1301,767258/00
1302,767259/00
4404,2435/94
4406,2434/94
7080,24718/79
7081,24717/79
8157,59315/1
8158,59215/1
7726,187091/13
10684,164119/1
2480,135398
2479,135397
11172,39521/1
2503,208487
1665,
4589,19216
9818,187185/13
8175,97355/12
11370,80022/1
9706,24418/1
9707,24318/1
11979,130122/1
11980,130222/1
9735,141918/1
9738,141818/1
11623,41523/1
7790,221153/08
7791,221152/08
8888,129516/1
8889,129416/1
4293,67
4294,69
4295,68
6097,243733/07
9658,104018/1
3168,24740/79
3172,24437/79
10255,163219/1
11809,1324/1
10623,145720/1
11810,90923/1
5157,24715/07
9260,97652/11
10354,97651/2011
8741,97549/11
5521,218015/09
5661,218013/09
5662,218016/09
10581,41221/1
11166,177820/1
10692,13420/1
9414,146817/1
10913,173120/1
6881,97235/12
9125,28017/1
11712,6223/1
7315,218188/09
7646,105914/1
3626,973310/01
4490,2885/94
2492,B0744/92
274,MPB 2271/94
275,MPD 2271/94
276,MPE 2271/94
2491,A0744/92
484,405464/00
10176,90619/1
5153,222222/07
11521,20010/1
3577,195294/04
9765,147618/1
5596,221983/09
5599,218030/09
1241,148208/03
5801,219287/09
10595,175519/1
11694,3223/1
7332,97875/11
10289,110716/1
7761,96417/11
4411,25651
11163,150820/1
11895,151120/1
11645,36122/1
11700,36022/1
10332,35819/1
8823,28516/1
8824,28616/1
196,27717
10126,106719/1
9906,1819/1
10127,106819/1
197,27716
10400,168019/1
8814,111716/1
4163,208491/97
3559,194793/05
10967,123518/1
3526,194792/05
5239,24303/06
7630,186106/13
10341,141519/1
10340,141419/1
6905,218696/10
10136,85419/1
8871,167315/1
6255,222481/08
6561,96426/11
9261,148817/1
11022,37322/1
11021,37222/1
5150,23718/06
11006,319/1
11005,219/1
11004,119/1
7327,185925/13
9922,13419/1
5109,194036
8486,186455/12
8485,186456/12
9856,16819/1
11812,37624/1
11813,37524/1
10782,145520/1
10781,145420/1
10991,20922/1
10992,21022/1
7340,186386/13
10398,165119/1
10399,117119/1
10397,165319/1
6767,167197/10
513,27258
6836,167605/10
10710,162717/1
11711,53422/1
10584,118820/1
32,26275
11984,99323/1
10798,36121/1
10799,36221/1
11363,105820/1
11365,114821/1
11364,105920/1
11362,118521/1
9950,173516/1
9952,173816/1
9951,173716/1
9949,173616/1
11733,71022/1
11734,71122/1
11744,71522/1
11745,71422/1
11742,71222/1
11743,71322/1
11740,70922/1
11741,54122/1
11746,71622/1
11199,79321/1
11198,79421/1
6867,218850/09
6724,218816/09
10688,152019/1
10689,151919/1
10133,161919/1
10134,161819/1
6213,218596/10
6420,218595/10
6421,218594/10
9083,122316/1
11121,181020/1
10833,98320/1
10834,98420/1
8447,164215/1
8448,164315/1
8449,164415/1
10634,30220/1
10633,30120/1
8398,122615/1
10627,56321/1
10628,56221/1
11558,19123/1
4590,31
4591,30
4594,32
4592,33
103,38861
4595,19266
11183,130722/1
9935,20819/1
272,MPO 2266/94
11500,147021/1
2279,973404/01
9061,25517/1
10671,21320/1
8590,38315/1
6653,218857/09
6654,218858/09
11863,132820/1
9067,8017/1
9899,169418/1
11459,93222/1
9068,7917/1
9898,169518/1
11460,93422/1
9025,156916/1
9026,157016/1
11303,17423/1
11302,17523/1
11790,139023/1
6442,222454/08
11531,119723/1
1433,973713/02
1434,973712/02
10471,194319/1
10472,194519/1
10473,194419/1
4495,58/95
1860,405950/00
1861,973920/02
7454,96390/11
5502,221699/08
9755,53119/1
9756,53019/1
9757,53219/1
8338,222942/14
9626,104818/1
11677,126623/1
10994,6522/1
11739,164423/1
11317,53223/1
2767,26674
11805,130323/1
5095,974074
4414,2824/94
8980,179516/1
10811,79220/1
10812,79320/1
10813,79420/1
