id,atc,b_g,ingredients,code,registration_nb,name,dosage,presentation,form,route,agent,laboratory,country,price,pharmacist_margin,stratum,responsible_party_name,responsible_party_country,exch_date,subsidy_pct,url
4538,N02BE01,G,Paracetamol - 1g/100ml,11323,78722,? PARACETAMOL,1g/100ml,100ml,Injectable solution,Infusion,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"191,978 L.L",23.08,A1,Alfa Laboratoires S.A.L.,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4538
4626,N03AB02,G,Phenytoin (sodium) - 250mg/5ml,11660,134122/1,? PHENYTOIN SODIUM 5% USP,5ml,1,Injectable solution,Infusion/IV,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"276,448 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4626
5716,V03AB35,G,Sugammadex - 200mg/2ml,12305,102025/1,? SUGAMMADEX,100mg/ml,1,Injectable solution,IV,Alfa Laboratoires S.A.L.,"Manufactured by Wasserbuger Arzneimittel werk GmbH, Germany Packed by Alfa Laboratoires S.A.L.",Lebanon,"5,214,109 L.L",23.08,B,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/5716
1959,C10AA07,G,Rosuvastatin (calcium) - 20mg,12710,17226/1,ATHERO ROS,20mg,30,"Tablet, film coated",Oral,Bee Pharm SARL,"UBSA Pharma Industries SARL (Secondary Packaging), manufacturer: Livealth Biopharma Pvt. Ltd, India",Lebanon,"499,142 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1959
1942,C10AA07,G,Rosuvastatin (calcium) - 10mg,12711,16726/1,ATHERO ROS,10mg,30,"Tablet, film coated",Oral,Bee Pharm SARL,"UBSA Pharma Industries SARL (Secondary Packaging), manufacturer: Livealth Biopharma Pvt. Ltd, India",Lebanon,"499,142 L.L",23.08,A1,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1942
2676,J01CA04,G,Amoxicillin (trihydrate) - 500mg,12704,92224/1,BACTILAM,500mg,1000,Capsule,Oral,Medis Pharm Drugstore,"Zhongshan Lean & Leap Pharmaceutical Co. Ltd, China Packed by Chaoul Pharmaceuticals (Cha-pha) SAL",Lebanon,"6,198,314 L.L",23.08,B,Chaoul Pharmaceuticals (Cha-Pha) SAL,Lebanon,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/2676
3039,J01MA12,G,Levofloxacin (hemihydrate) - 500mg,12719,60426/1,BENTAFLOX 500,500mg,7,"Tablet, film coated",Oral,Benta Trading Co s.a.l.,Benta SAL,Lebanon,"831,902 L.L",23.08,A2,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3039
4280,M03AX01,BioTech,Clostridium botulinum type A neurotoxin complex - 100U,12733,208025/1,BOTOX,100U,1,Injectable powder for solution,IM/SC,Mersaco,Allergan Pharmaceuticals (Ireland),Ireland,"18,625,995 L.L",19.35,D,Abbvie Ltd,UK,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/4280
5315,R03AL02,B,"Salbutamol (sulfate) - 2.5mg/2.5ml, Ipratropium bromide - 500mcg/2.5ml",12696,93725/1,COMBIVENT,,20 x 2.5ml,Inhaltion solution with nebuliser,Respiratory,Mersaco,Laboratoire Unither,France,"745,833 L.L",23.08,A2,Boehringer Ingelheim SComm,Belgium,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/5315
5,A01AD11,G,Flurbiprofen - 2.5mg/ml,9534,175817/1,CORYFIN GOLA DOLORE,2.5mg/ml,15ml,Spray,Oral gingival,Pharmamedic S.A.R.L.,Doppel Farmaceutici SRL,Italy,"808,993 L.L",23.08,A2,Laboratorio Farmaceutico (SIT) Specialita Igienico Terapeutiche S.r.l.,Italy,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/5
3435,L01BC08,G,Decitabine - 50mg,12697,101825/1,DEMYLOCAN,50mg,1,Injectable powder,Infusion,UPO S.A.L.,Pharmascience Inc,Canada,"69,245,291 L.L",10.71,E1,"Pendopharm, division of Pharmascience Inc",Canada,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3435
2388,G03DB01,B,Dydrogesterone - 10mg,12693,130724/1,DUPHASTON,10mg,20,"Tablet, film coated",Oral,Mersaco,Abbott Biologicals BV,The Netherlands,"935,314 L.L",23.08,A2,Abbott Laboratories GmbH,United Arab Emirates,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/2388
